doc_id,doc_type,component,symptom_tags,root_cause,fix_action,success,source_ref,rack_id,server_id,technician,vendor,text
DOC-0034,email,psu,fan_rpm_drop|temp_rise,"Falling PSU fan RPM paired with rising internal temperature; in one prior case this was a failing fan bearing rather than the PSU's power stage, confirmed by fan replacement resolving the temperature trend without replacing the whole PSU.",Check fan RPM against the vendor's minimum spec before ordering a full PSU replacement -- a fan-only replacement is faster to source and avoids an unnecessary power-path interruption.,True,INC255766,RACK-11,RACK-11-U5,S. Okafor,Lenovo,"Subject: Re: PSU alerts on RACK-11-U5 (RACK-11)
From: S. Okafor

Following up on the fan_rpm_drop, temp_rise pattern we saw last time -- Falling PSU fan RPM paired with rising internal temperature; in one prior case this was a failing fan bearing rather than the PSU's power stage, confirmed by fan replacement resolving the temperature trend without replacing the whole PSU. We ended up going with: Check fan RPM against the vendor's minimum spec before ordering a full PSU replacement -- a fan-only replacement is faster to source and avoids an unnecessary power-path interruption. Worked, closing this out."
DOC-0015,ticket,disk,reallocated_sectors|pending_sectors|smart_prefail,SMART pre-fail attributes (reallocated and pending sector counts) rising steadily over the prior week indicate the drive's media surface is degrading; this pattern preceded a hard read failure in prior incidents.,"Migrate data off the drive (rebuild RAID member / drain replica) before reallocated sectors exceed the vendor threshold, then hot-swap the physical disk. Do not wait for a hard failure if a backup or replication job is currently reading from this drive.",True,INC800675,RACK-02,RACK-02-U6,S. Okafor,Lenovo,"[Closed Incident INC800675] Component: DISK | Server: RACK-02-U6 | Rack: RACK-02
Vendor: Lenovo
Symptoms observed: reallocated_sectors, pending_sectors, smart_prefail.
Root cause: SMART pre-fail attributes (reallocated and pending sector counts) rising steadily over the prior week indicate the drive's media surface is degrading; this pattern preceded a hard read failure in prior incidents.
Resolution applied by S. Okafor: Migrate data off the drive (rebuild RAID member / drain replica) before reallocated sectors exceed the vendor threshold, then hot-swap the physical disk. Do not wait for a hard failure if a backup or replication job is currently reading from this drive.
Outcome: Resolved, no recurrence in 30 days."
DOC-0016,rca,disk,reallocated_sectors|pending_sectors|smart_prefail,SMART pre-fail attributes (reallocated and pending sector counts) rising steadily over the prior week indicate the drive's media surface is degrading; this pattern preceded a hard read failure in prior incidents.,"Migrate data off the drive (rebuild RAID member / drain replica) before reallocated sectors exceed the vendor threshold, then hot-swap the physical disk. Do not wait for a hard failure if a backup or replication job is currently reading from this drive.",True,INC723241,RACK-08,RACK-08-U8,J. Alvarez,Dell,"Root Cause Analysis INC723241 -- DISK failure signature, Dell platform
Prepared by: J. Alvarez
Observed symptoms: reallocated_sectors, pending_sectors, smart_prefail.
Analysis: SMART pre-fail attributes (reallocated and pending sector counts) rising steadily over the prior week indicate the drive's media surface is degrading; this pattern preceded a hard read failure in prior incidents.
Recommended and validated action: Migrate data off the drive (rebuild RAID member / drain replica) before reallocated sectors exceed the vendor threshold, then hot-swap the physical disk. Do not wait for a hard failure if a backup or replication job is currently reading from this drive.
Confirmation: Validated across multiple servers with the same signature."
DOC-0025,ticket,psu,input_voltage_drop|output_ripple_high|psu_fault,"Input voltage sag combined with rising output ripple on one PSU in a redundant pair indicates internal capacitor degradation, typically 2-3 weeks before a hard PSU trip.","Because PSUs are deployed N+1, the redundant unit can carry load during replacement -- confirm the partner PSU is healthy, then hot-swap the degrading unit. If this rack is in a backup window, verify the backup job's power draw profile doesn't push the single remaining PSU over its rated capacity before pulling the faulty one.",True,INC258647,RACK-04,RACK-04-U4,J. Alvarez,HPE,"[Closed Incident INC258647] Component: PSU | Server: RACK-04-U4 | Rack: RACK-04
Vendor: HPE
Symptoms observed: input_voltage_drop, output_ripple_high, psu_fault.
Root cause: Input voltage sag combined with rising output ripple on one PSU in a redundant pair indicates internal capacitor degradation, typically 2-3 weeks before a hard PSU trip.
Resolution applied by J. Alvarez: Because PSUs are deployed N+1, the redundant unit can carry load during replacement -- confirm the partner PSU is healthy, then hot-swap the degrading unit. If this rack is in a backup window, verify the backup job's power draw profile doesn't push the single remaining PSU over its rated capacity before pulling the faulty one.
Outcome: Resolved, no recurrence in 30 days."
DOC-0032,rca,psu,fan_rpm_drop|temp_rise,"Falling PSU fan RPM paired with rising internal temperature; in one prior case this was a failing fan bearing rather than the PSU's power stage, confirmed by fan replacement resolving the temperature trend without replacing the whole PSU.",Check fan RPM against the vendor's minimum spec before ordering a full PSU replacement -- a fan-only replacement is faster to source and avoids an unnecessary power-path interruption.,True,INC207352,RACK-01,RACK-01-U3,T. Novak,Dell,"Root Cause Analysis INC207352 -- PSU failure signature, Dell platform
Prepared by: T. Novak
Observed symptoms: fan_rpm_drop, temp_rise.
Analysis: Falling PSU fan RPM paired with rising internal temperature; in one prior case this was a failing fan bearing rather than the PSU's power stage, confirmed by fan replacement resolving the temperature trend without replacing the whole PSU.
Recommended and validated action: Check fan RPM against the vendor's minimum spec before ordering a full PSU replacement -- a fan-only replacement is faster to source and avoids an unnecessary power-path interruption.
Confirmation: Validated across multiple servers with the same signature."
DOC-0038,ticket,nic,link_flap|crc_errors,"Repeated link flaps with rising CRC error counts on a single NIC port, isolated to the port (not the switch side, confirmed via counters on both ends) -- consistent with a degrading SFP transceiver or a marginal cable.","Replace the SFP transceiver and cable together before replacing the NIC card itself; this resolved the equivalent signature in prior tickets without a full card swap. If this NIC is the active path for an in-progress migration, fail over to the secondary NIC first.",True,INC315183,RACK-09,RACK-09-U6,M. Chen,Lenovo,"[Closed Incident INC315183] Component: NIC | Server: RACK-09-U6 | Rack: RACK-09
Vendor: Lenovo
Symptoms observed: link_flap, crc_errors.
Root cause: Repeated link flaps with rising CRC error counts on a single NIC port, isolated to the port (not the switch side, confirmed via counters on both ends) -- consistent with a degrading SFP transceiver or a marginal cable.
Resolution applied by M. Chen: Replace the SFP transceiver and cable together before replacing the NIC card itself; this resolved the equivalent signature in prior tickets without a full card swap. If this NIC is the active path for an in-progress migration, fail over to the secondary NIC first.
Outcome: Resolved, no recurrence in 30 days."
DOC-0042,ticket,nic,link_flap|crc_errors,"Repeated link flaps with rising CRC error counts on a single NIC port, isolated to the port (not the switch side, confirmed via counters on both ends) -- consistent with a degrading SFP transceiver or a marginal cable.","Replace the SFP transceiver and cable together before replacing the NIC card itself; this resolved the equivalent signature in prior tickets without a full card swap. If this NIC is the active path for an in-progress migration, fail over to the secondary NIC first.",True,INC309629,RACK-09,RACK-09-U8,S. Okafor,Lenovo,"[Closed Incident INC309629] Component: NIC | Server: RACK-09-U8 | Rack: RACK-09
Vendor: Lenovo
Symptoms observed: link_flap, crc_errors.
Root cause: Repeated link flaps with rising CRC error counts on a single NIC port, isolated to the port (not the switch side, confirmed via counters on both ends) -- consistent with a degrading SFP transceiver or a marginal cable.
Resolution applied by S. Okafor: Replace the SFP transceiver and cable together before replacing the NIC card itself; this resolved the equivalent signature in prior tickets without a full card swap. If this NIC is the active path for an in-progress migration, fail over to the secondary NIC first.
Outcome: Resolved, no recurrence in 30 days."
DOC-0019,email,disk,smart_read_error_rate|latency_spike,"Elevated SMART read error rate combined with I/O latency spikes on the same physical disk, without reallocated sectors yet -- an earlier-stage precursor than the classic reallocated-sector pattern.","Flag the disk for proactive replacement during the next maintenance window rather than immediate hot-swap, since no data-loss-risk threshold has been crossed yet; continue monitoring reallocation count daily.",True,INC801133,RACK-06,RACK-06-U1,R. Singh,HPE,"Subject: Re: DISK alerts on RACK-06-U1 (RACK-06)
From: R. Singh

Following up on the smart_read_error_rate, latency_spike pattern we saw last time -- Elevated SMART read error rate combined with I/O latency spikes on the same physical disk, without reallocated sectors yet -- an earlier-stage precursor than the classic reallocated-sector pattern. We ended up going with: Flag the disk for proactive replacement during the next maintenance window rather than immediate hot-swap, since no data-loss-risk threshold has been crossed yet; continue monitoring reallocation count daily. Worked, closing this out."
DOC-0007,email,dimm,ecc_correctable_spike|bios_reseat_attempted,"Initial diagnosis suspected a loose DIMM seating after a recent chassis service event; reseating temporarily reduced correctable ECC counts but errors returned within 48 hours, confirming the module itself (not the seating) was at fault.",Reseating the DIMM is not a durable fix when correctable ECC counts resume climbing within 2 days -- escalate directly to module replacement instead of re-attempting a reseat.,False,INC539499,RACK-03,RACK-03-U2,T. Novak,HPE,"Subject: Re: DIMM alerts on RACK-03-U2 (RACK-03)
From: T. Novak

Following up on the ecc_correctable_spike, bios_reseat_attempted pattern we saw last time -- Initial diagnosis suspected a loose DIMM seating after a recent chassis service event; reseating temporarily reduced correctable ECC counts but errors returned within 48 hours, confirming the module itself (not the seating) was at fault. We ended up going with: Reseating the DIMM is not a durable fix when correctable ECC counts resume climbing within 2 days -- escalate directly to module replacement instead of re-attempting a reseat. Only worked temporarily, opened a formal RCA."
DOC-0014,rca,disk,reallocated_sectors|pending_sectors|smart_prefail,SMART pre-fail attributes (reallocated and pending sector counts) rising steadily over the prior week indicate the drive's media surface is degrading; this pattern preceded a hard read failure in prior incidents.,"Migrate data off the drive (rebuild RAID member / drain replica) before reallocated sectors exceed the vendor threshold, then hot-swap the physical disk. Do not wait for a hard failure if a backup or replication job is currently reading from this drive.",True,INC272975,RACK-06,RACK-06-U3,R. Singh,HPE,"Root Cause Analysis INC272975 -- DISK failure signature, HPE platform
Prepared by: R. Singh
Observed symptoms: reallocated_sectors, pending_sectors, smart_prefail.
Analysis: SMART pre-fail attributes (reallocated and pending sector counts) rising steadily over the prior week indicate the drive's media surface is degrading; this pattern preceded a hard read failure in prior incidents.
Recommended and validated action: Migrate data off the drive (rebuild RAID member / drain replica) before reallocated sectors exceed the vendor threshold, then hot-swap the physical disk. Do not wait for a hard failure if a backup or replication job is currently reading from this drive.
Confirmation: Validated across multiple servers with the same signature."
DOC-0048,email,nic,link_flap|driver_reset_attempted,"Link flaps attributed initially to a NIC driver issue; a driver update and reset were applied but flaps recurred within 24 hours, later traced to the same transceiver/cable pattern seen in other DIMM/NIC RCAs.","A driver reset is not sufficient when CRC errors are also rising -- treat rising CRC alongside link flaps as a physical-layer signature (transceiver/cable), not a driver-layer issue, and skip straight to hardware replacement.",False,INC920304,RACK-12,RACK-12-U4,R. Singh,Dell,"Subject: Re: NIC alerts on RACK-12-U4 (RACK-12)
From: R. Singh

Following up on the link_flap, driver_reset_attempted pattern we saw last time -- Link flaps attributed initially to a NIC driver issue; a driver update and reset were applied but flaps recurred within 24 hours, later traced to the same transceiver/cable pattern seen in other DIMM/NIC RCAs. We ended up going with: A driver reset is not sufficient when CRC errors are also rising -- treat rising CRC alongside link flaps as a physical-layer signature (transceiver/cable), not a driver-layer issue, and skip straight to hardware replacement. Only worked temporarily, opened a formal RCA."
DOC-0017,rca,disk,reallocated_sectors|pending_sectors|smart_prefail,SMART pre-fail attributes (reallocated and pending sector counts) rising steadily over the prior week indicate the drive's media surface is degrading; this pattern preceded a hard read failure in prior incidents.,"Migrate data off the drive (rebuild RAID member / drain replica) before reallocated sectors exceed the vendor threshold, then hot-swap the physical disk. Do not wait for a hard failure if a backup or replication job is currently reading from this drive.",True,INC597128,RACK-12,RACK-12-U2,J. Alvarez,Lenovo,"Root Cause Analysis INC597128 -- DISK failure signature, Lenovo platform
Prepared by: J. Alvarez
Observed symptoms: reallocated_sectors, pending_sectors, smart_prefail.
Analysis: SMART pre-fail attributes (reallocated and pending sector counts) rising steadily over the prior week indicate the drive's media surface is degrading; this pattern preceded a hard read failure in prior incidents.
Recommended and validated action: Migrate data off the drive (rebuild RAID member / drain replica) before reallocated sectors exceed the vendor threshold, then hot-swap the physical disk. Do not wait for a hard failure if a backup or replication job is currently reading from this drive.
Confirmation: Validated across multiple servers with the same signature."
DOC-0004,ticket,dimm,ecc_correctable_spike|ecc_uncorrectable|memory_errors,"Degrading DIMM module in slot showing rising correctable ECC error rate, progressing to uncorrectable errors consistent with a failing memory cell array.","Replace the affected DIMM module. If the server is part of an active migration or DR failover, complete failover to a healthy node before pulling the module; do not hot-remove memory from a node still serving production traffic.",True,INC677814,RACK-07,RACK-07-U1,T. Novak,Dell,"[Closed Incident INC677814] Component: DIMM | Server: RACK-07-U1 | Rack: RACK-07
Vendor: Dell
Symptoms observed: ecc_correctable_spike, ecc_uncorrectable, memory_errors.
Root cause: Degrading DIMM module in slot showing rising correctable ECC error rate, progressing to uncorrectable errors consistent with a failing memory cell array.
Resolution applied by T. Novak: Replace the affected DIMM module. If the server is part of an active migration or DR failover, complete failover to a healthy node before pulling the module; do not hot-remove memory from a node still serving production traffic.
Outcome: Resolved, no recurrence in 30 days."
DOC-0021,email,disk,smart_read_error_rate|latency_spike,"Elevated SMART read error rate combined with I/O latency spikes on the same physical disk, without reallocated sectors yet -- an earlier-stage precursor than the classic reallocated-sector pattern.","Flag the disk for proactive replacement during the next maintenance window rather than immediate hot-swap, since no data-loss-risk threshold has been crossed yet; continue monitoring reallocation count daily.",True,INC235623,RACK-12,RACK-12-U4,R. Singh,HPE,"Subject: Re: DISK alerts on RACK-12-U4 (RACK-12)
From: R. Singh

Following up on the smart_read_error_rate, latency_spike pattern we saw last time -- Elevated SMART read error rate combined with I/O latency spikes on the same physical disk, without reallocated sectors yet -- an earlier-stage precursor than the classic reallocated-sector pattern. We ended up going with: Flag the disk for proactive replacement during the next maintenance window rather than immediate hot-swap, since no data-loss-risk threshold has been crossed yet; continue monitoring reallocation count daily. Worked, closing this out."
DOC-0024,email,disk,smart_read_error_rate|latency_spike,"Elevated SMART read error rate combined with I/O latency spikes on the same physical disk, without reallocated sectors yet -- an earlier-stage precursor than the classic reallocated-sector pattern.","Flag the disk for proactive replacement during the next maintenance window rather than immediate hot-swap, since no data-loss-risk threshold has been crossed yet; continue monitoring reallocation count daily.",True,INC815887,RACK-07,RACK-07-U4,M. Chen,Dell,"Subject: Re: DISK alerts on RACK-07-U4 (RACK-07)
From: M. Chen

Following up on the smart_read_error_rate, latency_spike pattern we saw last time -- Elevated SMART read error rate combined with I/O latency spikes on the same physical disk, without reallocated sectors yet -- an earlier-stage precursor than the classic reallocated-sector pattern. We ended up going with: Flag the disk for proactive replacement during the next maintenance window rather than immediate hot-swap, since no data-loss-risk threshold has been crossed yet; continue monitoring reallocation count daily. Worked, closing this out."
DOC-0027,rca,psu,input_voltage_drop|output_ripple_high|psu_fault,"Input voltage sag combined with rising output ripple on one PSU in a redundant pair indicates internal capacitor degradation, typically 2-3 weeks before a hard PSU trip.","Because PSUs are deployed N+1, the redundant unit can carry load during replacement -- confirm the partner PSU is healthy, then hot-swap the degrading unit. If this rack is in a backup window, verify the backup job's power draw profile doesn't push the single remaining PSU over its rated capacity before pulling the faulty one.",True,INC660559,RACK-06,RACK-06-U6,M. Chen,Lenovo,"Root Cause Analysis INC660559 -- PSU failure signature, Lenovo platform
Prepared by: M. Chen
Observed symptoms: input_voltage_drop, output_ripple_high, psu_fault.
Analysis: Input voltage sag combined with rising output ripple on one PSU in a redundant pair indicates internal capacitor degradation, typically 2-3 weeks before a hard PSU trip.
Recommended and validated action: Because PSUs are deployed N+1, the redundant unit can carry load during replacement -- confirm the partner PSU is healthy, then hot-swap the degrading unit. If this rack is in a backup window, verify the backup job's power draw profile doesn't push the single remaining PSU over its rated capacity before pulling the faulty one.
Confirmation: Validated across multiple servers with the same signature."
DOC-0001,rca,dimm,ecc_correctable_spike|ecc_uncorrectable|memory_errors,"Degrading DIMM module in slot showing rising correctable ECC error rate, progressing to uncorrectable errors consistent with a failing memory cell array.","Replace the affected DIMM module. If the server is part of an active migration or DR failover, complete failover to a healthy node before pulling the module; do not hot-remove memory from a node still serving production traffic.",True,INC258176,RACK-07,RACK-07-U1,J. Alvarez,Lenovo,"Root Cause Analysis INC258176 -- DIMM failure signature, Lenovo platform
Prepared by: J. Alvarez
Observed symptoms: ecc_correctable_spike, ecc_uncorrectable, memory_errors.
Analysis: Degrading DIMM module in slot showing rising correctable ECC error rate, progressing to uncorrectable errors consistent with a failing memory cell array.
Recommended and validated action: Replace the affected DIMM module. If the server is part of an active migration or DR failover, complete failover to a healthy node before pulling the module; do not hot-remove memory from a node still serving production traffic.
Confirmation: Validated across multiple servers with the same signature."
DOC-0033,email,psu,fan_rpm_drop|temp_rise,"Falling PSU fan RPM paired with rising internal temperature; in one prior case this was a failing fan bearing rather than the PSU's power stage, confirmed by fan replacement resolving the temperature trend without replacing the whole PSU.",Check fan RPM against the vendor's minimum spec before ordering a full PSU replacement -- a fan-only replacement is faster to source and avoids an unnecessary power-path interruption.,True,INC743550,RACK-01,RACK-01-U2,M. Chen,Lenovo,"Subject: Re: PSU alerts on RACK-01-U2 (RACK-01)
From: M. Chen

Following up on the fan_rpm_drop, temp_rise pattern we saw last time -- Falling PSU fan RPM paired with rising internal temperature; in one prior case this was a failing fan bearing rather than the PSU's power stage, confirmed by fan replacement resolving the temperature trend without replacing the whole PSU. We ended up going with: Check fan RPM against the vendor's minimum spec before ordering a full PSU replacement -- a fan-only replacement is faster to source and avoids an unnecessary power-path interruption. Worked, closing this out."
DOC-0035,email,psu,fan_rpm_drop|temp_rise,"Falling PSU fan RPM paired with rising internal temperature; in one prior case this was a failing fan bearing rather than the PSU's power stage, confirmed by fan replacement resolving the temperature trend without replacing the whole PSU.",Check fan RPM against the vendor's minimum spec before ordering a full PSU replacement -- a fan-only replacement is faster to source and avoids an unnecessary power-path interruption.,True,INC597183,RACK-02,RACK-02-U2,R. Singh,HPE,"Subject: Re: PSU alerts on RACK-02-U2 (RACK-02)
From: R. Singh

Following up on the fan_rpm_drop, temp_rise pattern we saw last time -- Falling PSU fan RPM paired with rising internal temperature; in one prior case this was a failing fan bearing rather than the PSU's power stage, confirmed by fan replacement resolving the temperature trend without replacing the whole PSU. We ended up going with: Check fan RPM against the vendor's minimum spec before ordering a full PSU replacement -- a fan-only replacement is faster to source and avoids an unnecessary power-path interruption. Worked, closing this out."
